id,source,question,calculator_input,status,mark_scheme_check,issue_or_fix,regression
PMT-CP1-2020-Q7,Edexcel Further Core Pure 1 June 2020,Q7 bacteria first-order linear DE,"de_solve((1+t)*dP/dt+P=t^2*(1+t),P(0)=5)",PASS-DE-PART,"MS needs normal form, IF=1+t, integrate t^2(1+t), C=5","Fixed polynomial RHS integration in linear DE",yes
PMT-CP1-2021-Q8,Edexcel Further Core Pure 1 June 2021,Q8 paint mixing first-order DE,"de_solve(dr/dt=2-r/10,r(0)=10); solve(20-10*e^(-t/10)=15,t)",PASS-PARTIAL,"MS accepts IF or separation, C from r(0)=10, solve r=15 for t=7s","DE output is implicit; follow-up solve gives t",manual
PMT-CP2-2020-Q3,Edexcel Further Core Pure 2 June 2020,Q3 second-order constant coefficient DE,"de_solve(100*d2x/dt2+60*dx/dt+13*x=26)",GAP-HONEST,"MS needs auxiliary equation 100m^2+60m+13=0 and CF/PI","Stopped fake first-order working; second-order route still needed",yes
PMT-P1-2020O-Q9,Edexcel A Level Paper 1 October 2020,Q9 balloon separable DE with k,"de_solve(dr/dt=-k/r^2,r(0)=40,r(5)=20)",PASS-DE-PART,"MS needs separation, C from r(0), k from r(5)","Fixed symbolic constant separation and second boundary solve",yes
PMT-CP1-2022-Q3,Edexcel Further Core Pure 1 June 2022,Q3 linear DE with trig IF,"de_solve(cos(x)*dy/dx+y*sin(x)=e^(2*x)*cos(x)^2)",PASS-DE-PART,"MS needs divide by cos x, p=tan x, IF=sec x, integrate RHS","Fixed sin/cos to tan cleanup and final multiply by cos x",yes
PMT-CP1-2024-Q5,Edexcel Further Core Pure 1 June 2024,Q5 raindrop first-order linear DE with k,"de_solve((t+2)*dv/dt+3*v=k*(t+2)-3,v(0)=0)",PASS-DE-PART,"MS needs IF=(t+2)^3, integrate (t+2)^2(k(t+2)-3), C=8-4k","Fixed IF denominator cancellation, symbolic constant factor, symbolic C",yes
PMT-FP1-2024-Q10,Edexcel Further Pure 1 June 2024,Q10 transformed second-order DE,"de_solve(t^2*d2x/dt2+2*t*(t+1)*dx/dt+2*(t+1)*x=8*t^3*e^t)",GAP-HONEST,"MS needs transformation x=tu then second-order solve","Second-order transformed equations unsupported; now no fake working",manual
PMT-CP2-2024-Q6,Edexcel Further Core Pure 2 June 2024,Q6 second-order constant coefficient DE,"de_solve(2*d2x/dt2+5*dx/dt+2*x=4*t+12)",GAP-HONEST,"MS needs auxiliary equation and particular integral","Second-order route unsupported; now no fake working",manual
MADAS-ST-TRIGEQ-Q1A,MadAsMaths trigonometric_equations.pdf,Q1a sec equation,"sec(theta)=4,theta,0,360",PASS,"Answer needs theta ~= 75.5, 284.5","Existing reciprocal sec route shows cos(A)=1/4 and filtered interval",manual
MADAS-ST-TRIGEQ-Q1B,MadAsMaths trigonometric_equations.pdf,Q1b cot equation,"3*cot(2*x)-1=4,x,0,180",PASS,"Answer needs x ~= 15.5, 105.5","New tan/cot substitution route and existing filter agree",manual
MADAS-ST-TRIGEQ-Q1C,MadAsMaths trigonometric_equations.pdf,Q1c cosec equation,"2*cosec(2*y)=10,y,0,2*pi,8",PASS,"Answer needs y ~= 0.10, 1.47, 3.24, 4.61","Existing reciprocal cosec route shows sin(A)=1/5 and filtered interval",manual
MADAS-ST-TRIGEQ-Q1D,MadAsMaths trigonometric_equations.pdf,Q1d tan/cot power equation,"8*tan(phi)=cot(phi)^2,phi,0,2*pi,8",PASS,"Answer needs phi ~= 0.46, 3.61","Fixed generic tan/cot power substitution u=tan(A), cot(A)=1/u",yes
MADAS-ST-TRIGEQ-Q2D,MadAsMaths trigonometric_equations.pdf,Q2d sine/cosec polynomial,"27*sin(phi)^2+8*cosec(phi)=0,phi,0,2*pi,8",PASS,"Answer needs phi ~= 3.87, 5.55","Fixed generic sin/cosec power substitution u=sin(A), cosec(A)=1/u",yes
MADAS-ST-TRIGEQ-Q3D,MadAsMaths trigonometric_equations.pdf,Q3d cos/sec square equation,"27*cos(phi)=sec(phi)^2,phi,0,2*pi,8",PASS,"Answer needs phi ~= 1.23, 5.05","MadAs notation sec 2 phi means sec^2(phi); generic cos/sec power route works",yes
MADAS-ST-TRIGEQ-Q5A,MadAsMaths trigonometric_equations.pdf,Q5a sec with sin squared,"2*sec(theta)-1=2*sec(theta)*sin(theta)^2,theta,0,180",PASS,"Answer needs theta=60","Fixed reciprocal sec plus sin^2=1-cos^2 route using u=cos(A)",yes
MADAS-ST-TRIGEQ-Q5B,MadAsMaths trigonometric_equations.pdf,Q5b mixed cot equation,"cos(x)*cot(x)+sin(x)+2*cot(x)=0,x,0,360",PASS,"Answer needs x=120,240","Fixed common-denominator route: multiply by sin(A), use sin^2+cos^2=1",yes
MADAS-ST-TRIGEQ-Q5C,MadAsMaths trigonometric_equations.pdf,Q5c cosec/sec equation,"(cosec(y)-sin(y))*sec(y)^2=2,y,0,pi,8",PASS,"Answer needs y=pi/6,5*pi/6","Fixed common-denominator route with sec-domain rejection",yes
MADAS-ST-TRIGEQ-Q5D,MadAsMaths trigonometric_equations.pdf,Q5d cosec/cot/cos equation,"cosec(phi)-sin(phi)+2*cos(phi)^2*cot(phi)=0,phi,0,2*pi,8",PASS,"Answer needs phi=pi/2,2pi/3,4pi/3,3pi/2","Fixed common-denominator route and cos-factor branches",yes
MADAS-ST-TRIGEQ-Q6A,MadAsMaths trigonometric_equations.pdf,Q6a sec plus cos,"sec(theta)+cos(theta)=5/2,theta,0,360",PASS,"Answer needs theta=60,300","OCR split 5/2 over two lines; generic cos/sec power route works",yes
MADAS-ST-TRIGEQ-Q6B,MadAsMaths trigonometric_equations.pdf,Q6b sec/cosec difference,"sec(x)-cos(x)=8*(cosec(x)-sin(x)),x,0,360",PASS,"Answer needs x ~= 63.4,243.6","Fixed common-denominator cubic ratio sin^3=8cos^3",yes
MADAS-ST-TRIGEQ-Q6C,MadAsMaths trigonometric_equations.pdf,Q6c cot/cosec/sec equation,"2*cot(y)-3*cosec(y)=2*sec(y)*cosec(y),y,0,2*pi,8",PASS,"Answer needs y=2pi/3,4pi/3","Fixed multiply by sin(A)cos(A), quadratic in cos(A)",yes
MADAS-ST-TRIGEQ-Q6D,MadAsMaths trigonometric_equations.pdf,Q6d sec product tan equation,"(1+sec(phi))*(1-cos(phi))=tan(phi),phi,0,2*pi,8",PASS-PARTIAL,"Paper interval is 0<=phi<2pi so answer 0,pi; calculator interval syntax is inclusive and also returns 2pi","Fixed product route and rejects sin(phi)=1 due sec domain",yes
MADAS-ST-TRIGEQ-Q6E,MadAsMaths trigonometric_equations.pdf,Q6e cosec/tan/cos reciprocal cubic,"(cosec(psi)^2*tan(psi)^2)/cos(psi)+8=0,psi,0,360",PASS,"Answer needs psi=120,240","Fixed common-denominator cubic in cos after reciprocal identities",yes
MADAS-ST-TRIGEQ-Q7A-F,MadAsMaths trigonometric_equations.pdf,Q7 hard reciprocal/rational equations,"mixed trig reciprocal equations",PASS,"Printed answers matched for Q7A-F","Added factorable sin/cos common-denominator and cosec/cot rational identity routes",yes
MADAS-ST-TRIGEQ-Q8-Q16,MadAsMaths trigonometric_equations.pdf,Q8-Q16 reciprocal Pythagorean and rational equations,"sec/tan/cosec/cot rational quadratics",PASS,"Printed answers matched for Q8-Q16","Added generic reciprocal-Pythagorean polynomial and rational u-substitution routes",yes
MADAS-ST-TRIGEQ-Q17-Q20,MadAsMaths trigonometric_equations.pdf,Q17-Q20 shifted-angle equations,"sin/cos shifted linear equations",PASS,"Printed answers matched except OCR anomaly checked by direct equation semantics","Added shifted-angle R-form reducer",yes
MADAS-ST-TRIGEQ-Q21-Q30,MadAsMaths trigonometric_equations.pdf,Q21-Q30 double-angle equations,"sin2/cos2/tan2 equations",PASS,"Printed answers matched for Q21-Q30 with inclusive endpoint caveat","Added double-angle expansion in common-denominator solver plus hard tan2/cot-sec route",yes
MADAS-ST-TRIGINTRO-Q1-Q17,MadAsMaths trigonometric_equations_introduction.pdf,Q1-Q17 shifted/simple equations,"sin(kx+a)=b, cos(kx+a)=b, tan(kx+a)=b, R-form zero equations",PASS,"Printed answers matched, with calculator inclusive endpoint syntax caveat","Existing shifted/same-function/R-form routes cover this family",manual
MADAS-ST-TRIGINTRO-Q18-Q32,MadAsMaths trigonometric_equations_introduction.pdf,Q18-Q32 quadratic trig equations,"quadratics in sin/cos, cos^2/sin^2 replacement, double-angle display",PASS,"Printed answers matched for representative exact and decimal forms","Fixed malformed cos(2x) substitution line and verified Pythagorean quadratic reductions",yes
MADAS-ST-TRIGINTRO-Q33-Q37,MadAsMaths trigonometric_equations_introduction.pdf,Q33-Q37 rational tan/sin/cos equations,"4*tan(theta)^2*cos(theta)=15; (sin(x)-cos(x))/cos(x)=2",PASS,"Printed answers matched for tan/cos/sin rational families","Added generic sin/cos/tan rational polynomial route with denominator rejection",yes
MADAS-ST-TRIGINTRO-Q38-Q39,MadAsMaths trigonometric_equations_introduction.pdf,Q38-Q39 identity proofs,"trig prove mode for algebraic identities",PASS-PARTIAL,"Identity truth verified, but proof lines are generic and should be expanded later","Logged as proof-working quality gap",manual
