topic_page,source_page,pdf,text,question_blocks,status,notes
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,binomial_series_expansions_exam_questions.pdf,binomial_series_expansions_exam_questions.txt,92,manual_audit_in_progress,"Q1-Q14, Q20-Q22, Q30-Q32, Q40-Q42, Q50-Q52 sampled/checked; fixes added for PF, products, sums, and powered-linear denominator products; remaining questions still pending"
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,binomial_series_expansions_practice.pdf,binomial_series_expansions_practice.txt,31,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,curve_sketching_exam_questions.pdf,curve_sketching_exam_questions.txt,17,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_ii_exam_questions.pdf,differentiation_ii_exam_questions.txt,280,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_practice_ii.pdf,differentiation_practice_ii.txt,41,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_practice_ii_exam_questions.pdf,differentiation_practice_ii_exam_questions.txt,15,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,differentiation_practice_ii_student_version.pdf,differentiation_practice_ii_student_version.txt,21,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,equations_advanced_skills.pdf,equations_advanced_skills.txt,101,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,exponentials_logarithms_exam_questions.pdf,exponentials_logarithms_exam_questions.txt,128,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,exponentials_logarithms_practice.pdf,exponentials_logarithms_practice.txt,15,downloaded_pending_manual_audit,not yet manually checked question-by-question
various,https://www.madasmaths.com/archive_maths_booklets_standard_topics_various.html,function_exam_questions.pdf,function_exam_questions.txt,163,downloaded_pending_manual_audit,not yet manually checked question-by-question
